shop_name,address,phone_number,email,category,product,district,street_no,street_name,city,ward,ocr_result,file_name
Chào Long,"601 Hưng Phú, Phường 9, Quận 8",22.000 đ,,,,Quận 8,,Hưng Phú,,Phường 9,"Chào Long
22.000 đ
601 Hưng Phú, P.9, Q.8",crop_images/GPAH9282.JPG.jpg_1730839958.1087947.jpg
VĂN PHÒNG PHẨM VĨNH LỢI,"593C Hung Phú, P.9, Q.8",0941 126 424,,"Văn phòng phẩm, mỹ phẩm, đồ chơi trẻ em","SÁCH GIÁO KHOA, VĂN PHÒNG PHẨM, MỸ PHẨM, ĐỒ CHƠI TRẺ EM",Q.8,593C,Hung Phú,,P.9,"VĂN PHÒNG PHẨM VĨNH LỢI
CHUYÊN CUNG CẤP: SÁCH GIÁO KHOA
VĂN PHÒNG PHẨM - MỸ PHẨM - ĐỒ CHƠI TRẺ EM
593C Hung Phú, P.9, Q.8
DT/ZALO: 0941 126 424",crop_images/GPAH9286.JPG.jpg_1730840804.8461056.jpg
VĂN PHÒNG PHẨM VĨNH LỢI,"593C Hưng Phú, P.9, Q.8",0941 126 424,,"Văn phòng phẩm, Sách giáo khoa, Mỹ phẩm, Đồ chơi trẻ em","Sách giáo khoa, Văn phòng phẩm, Mỹ phẩm, Đồ chơi trẻ em",Q.8,593C,Hưng Phú,,P.9,"VĂN PHÒNG PHẨM VĨNH LỢI
CHUYÊN CUNG CẤP: SÁCH GIÁO KHOA
VĂN PHÒNG PHẨM - MỸ PHẨM - ĐỒ CHƠI TRẺ EM
593C Hưng Phú, P.9, Q.8
DT/ZALO: 0941 126 424",crop_images/GPAH9286.JPG.jpg_1730840804.8806229.jpg
VĂN PHÒNG PHẨM VĨNH LỢI,"593C Hung Phú, Phường 9, Quận 8",0941 126 424,,"VĂN PHÒNG PHẨM, MỸ PHẨM, ĐỒ CHƠI TRẺ EM",SÁCH GIÁO KHOA,Quận 8,593C,Hung Phú,,Phường 9,"VĂN PHÒNG PHẨM VĨNH LỢI
CHUYÊN CUNG CẤP: SÁCH GIÁO KHOA
VĂN PHÒNG PHẨM - MỸ PHẨM - ĐỒ CHƠI TRẺ EM
593C Hung Phú, P.9, Q.8
DT/ZALO: 0941 126 424",crop_images/GPAH9286.JPG.jpg_1730840804.9009645.jpg
VĂN PHÒNG PHẨM VĨNH LỢI,"593C Hưng Phú, P.9, Q.8",0941 126 424,,"Văn phòng phẩm, Sách giáo khoa, Mỹ phẩm, Đồ chơi trẻ em","Sách giáo khoa, Văn phòng phẩm, Mỹ phẩm, Đồ chơi trẻ em",Q.8,593C,Hưng Phú,,P.9,"VĂN PHÒNG PHẨM VĨNH LỢI
CHUYÊN CUNG CẤP: SÁCH GIÁO KHOA
VĂN PHÒNG PHẨM - MỸ PHẨM - ĐỒ CHƠI TRẺ EM
593C Hưng Phú, P.9, Q.8
DT/ZALD: 0941 126 424",crop_images/GPAH9287.JPG.jpg_1730840971.233984.jpg
VĂN PHÒNG PHẨM VĨNH LỢI,"593C Hưng Phú, P.9, Quận B",,,"Văn phòng phẩm, sách giáo khoa, mỹ phẩm, đồ chơi trẻ em",,B,593C,Hưng Phú,,9,"VĂN PHÒNG PHẨM VĨNH LỢI
CHUYÊN CUNG CẤP: SÁCH GIÁO KHOA
VĂN PHÒNG PHẨM - MỸ PHẨM - ĐỒ CHƠI TRẺ EM
593C Hưng Phú, P.9, Q.B",crop_images/GPAH9287.JPG.jpg_1730840971.2934792.jpg
VĂN PHÒNG PHẨM VĨNH LỢI,"593C Hung Phú, P.9, Q.B",0941 126 424,,"Cửa hàng chuyên cung cấp sách giáo khoa, văn phòng phẩm, mỹ phẩm và đồ chơi trẻ em.","Sách giáo khoa, Văn phòng phẩm, Mỹ phẩm, Đồ chơi trẻ em",Q.B,593C,Hung Phú,,P.9,"VĂN PHÒNG PHẨM VĨNH LỢI
CHUYÊN CUNG CẤP: SÁCH GIÁO KHOA
VĂN PHÒNG PHẨM - MỸ PHẨM - ĐỒ CHƠI TRẺ EM
593C Hung Phú, P.9, Q.B
DT/ZALD: 0941 126 424",crop_images/GPAH9287.JPG.jpg_1730840971.3044739.jpg
VĂN PHÒNG PHẨM VĨNH LỢI,,,,"Văn phòng phẩm, sách giáo khoa, đồ chơi trẻ em",,,,,,,"VĂN PHÒNG PHẨM VĨNH LỢI
CHUYÊN CUNG CẤP: SÁCH GIÁO KHOA
VĂN PHÒNG PHẨM - UY PHẨM - ĐỒ CHƠI TRẺ EM",crop_images/GPAH9288.JPG.jpg_1730841229.7406266.jpg
Gas South & Good Gas,"591 Hùng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh","028.39 877 888, 0888 222 679",,Gas station,"Natural Energy, Khí miền Nam, Gas Tốt",Quận 8,591,Hùng Phú,Thành phố Hồ Chí Minh,Phường 9,"CÔNG TY CỔ PHẦN KINH DOANH KHÍ MIÊN NAM
GAS SOUTH
Natural Energy
CÔNG TY CỔ PHẦN GAS TỐT - CHI NHÁNH GAS HÙNG PHÚ
Good Gas
Chia sẻ để yêu thương
591 HÙNG PHÚ, P.9, Q.8, TP.HCM
028.39 877 888
0888 222 679
GPKD: 0312830302-003
GCNDK SỐ: 58/GCNĐK - UBND",crop_images/GPAH9289.JPG.jpg_1730841377.1870086.jpg
Đại Lý Hưng Cao,"509 Hưng Phú, Phường 9, Quận 8, TP. Hồ Chí Minh",028.3857 9536 - 0784.539663,,Đại lý bán lẻ,"Các loại bia, nước ngọt, nước suối, đá tinh khiết",Quận 8,509,Hưng Phú,Hồ Chí Minh,Phường 9,"ĐẠI LÝ
HƯNG CAO
CÁC LOẠI BIA, NƯỚC NGỌT, NƯỚC SUỐI, ĐÁ TINH KHIẾT
509 HƯNG PHÚ, P.9 - Q.8 DT: 028.3857 9536 - 0784.539663",crop_images/GPAH9290.JPG.jpg_1730841473.0341086.jpg
ĐẠI LÝ HƯNG CAO,"509 Hưng Phú, Phường 9, Quận 8, TP. Hồ Chí Minh",028.3857 9536 - 0784.539663,,"Đại lý cung cấp các loại bia, nước ngọt, nước suối và đá tinh khiết","Bia, nước ngọt, nước suối, đá tinh khiết",Quận 8,509,Hưng Phú,TP. Hồ Chí Minh,Phường 9,"ĐẠI LÝ
HƯNG CAO
CÁC LOẠI BIA, NƯỚC NGỌT, NƯỚC SUỐI, ĐÁ TINH KHIẾT
509 HƯNG PHÚ, P.9 - Q.8 DT: 028.3857 9536 - 0784.539663",crop_images/GPAH9290.JPG.jpg_1730841473.0985672.jpg
Nghệ Thuật Cắt Tóc Minh Hùng,"587 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",0908 586 175,,"Salon làm tóc, làm móng, dịch vụ làm đẹp","Tạo mẫu các kiểu tóc nam và nữ, Uốn, duỗi, nhuộm tóc, Hấp dầu cho tóc, Làm móng tay, Vẽ móng, Nối mi, Trang điểm",Quận 8,587,Hưng Phú,Hồ Chí Minh,Phường 9,"NGHỆ THUẬT CẮT TÓC
Minh Hùng
Chuyên: - Tạo Mẫu Các Kiểu Tóc Nam - Nữ
- Uốn - Duỗi - Nhuộm - Hấp Dầu
- Làm Móng - Vẽ - Nối Mi - Trang Điểm
587 Hưng Phú P.9 - Q.8
DT: 0908 586 175",crop_images/GPAH9291.JPG.jpg_1730841597.462401.jpg
Hát Tóc MINH HÙNG,"587 Hưng Phú, Phường 9, Quận 8",0908.586.175,,Salon làm tóc,Dịch vụ làm tóc,Quận 8,587,Hưng Phú,,Phường 9,"Hát Tóc MINH HÙNG
ĐC: 587 HƯNG PHÚ - P.9 - Q.8 * DT: 0908.586.175",crop_images/GPAH9291.JPG.jpg_1730841597.486818.jpg
Nghệ Thuật Cắt Tóc Minh Hùng,"587 Hưng Phú, Phường 9, Quận 8, Tp. Hồ Chí Minh",0908 586 175,,Salon làm đẹp,"Dịch vụ tạo mẫu tóc, uốn duỗi nhuộm, làm móng, vẽ, nối mi, trang điểm",Quận 8,587,Hưng Phú,Hồ Chí Minh,Phường 9,"NGHỆ THUẬT CẮT TÓC
Minh Hùng
Chuyên:
- Tạo Mẫu Các Kiểu Tóc Nam - Nữ
- Uốn - Duỗi - Nhuộm - Hấp Dầu
- Làm Móng - Vẽ - Nối Mi - Trang Điểm
587 Hưng Phú P.9 - Q.8
DT: 0908 586 175",crop_images/GPAH9291.JPG.jpg_1730841597.5207808.jpg
Minh Hương Cắt Tóc,Không được cung cấp,,,Salon làm tóc,Dịch vụ cắt tóc,,,,,,"CẮT TÓC
MINH HƯƠNG
TẠO KIỂM MỚI - KHÔNG",crop_images/GPAH9292.JPG.jpg_1730841791.6917126.jpg
Nha khoa Loàng Ma,"Ngõ Phủ, Phường 9, Quận 8",0975720,,Dịch vụ nha khoa,"Dịch vụ chăm sóc nha khoa đa dạng, bao gồm nha khoa tổng quát, nha khoa thẩm mỹ, chỉnh nha xương hàm, mài răng sứ, cắm ghép implant, điều trị tủy, niềng răng, làm trắng răng, cắt lợi, cắt cầu",Quận 8,,,,,"NHA KHOA
LOÀNG MA
NG PHỦ P.9 - Q.8
DT: 0975720",crop_images/GPAH9292.JPG.jpg_1730841791.719129.jpg
NHA KHOA HOÀNG MAI,"581 Hưng Phú, Phường 9, Quận 8",0919 175 720,,Dịch vụ nha khoa,"Chăm sóc nha khoa chất lượng, điều trị các vấn đề về răng miệng, cung cấp dịch vụ nha khoa chuyên nghiệp.",Quận 8,,,,Phường 9,"NHA KHOA
HOÀNG MAI
581 HƯNG PHÚ P.9 - Q.8
DT: 0919 175 720",crop_images/GPAH9293.JPG.jpg_1730841964.6966653.jpg
Nhà Thuốc Pharmcity,[Địa chỉ cụ thể],,,Dược phẩm,"Thuốc chữa bệnh, sản phẩm chăm sóc sức khỏe",,,,,,"Nhà Thuốc
Pharmcity
Drugstore",crop_images/GPAH9294.JPG.jpg_1730842062.7753065.jpg
Nhà Thuốc Pharmacity,"123 Đường ABC, Thành phố XYZ",,,Dược phẩm,"Phát triển não bộ, Sức khỏe cho mắt, Tiêu hóa khỏe",,,,,,"Nhà Thuốc
Pharmacity
Drugstore
Phát triển não bộ sức khỏe cho mắt
Tiêu hóa khỏe
Giảm đến 40% + Nhận ngay 10.000 VNĐ",crop_images/GPAH9294.JPG.jpg_1730842062.8404772.jpg
Nhà Thuốc Pharmacity,,,,Nhà thuốc / Dược phẩm / Sản phẩm y tế,Thuốc và sản phẩm y tế,,,,,,"Nhà Thuốc
Pharmacity
Drugstore",crop_images/GPAH9295.JPG.jpg_1730842349.450635.jpg
Nhà Thuốc Pharmacity,,,,Thuốc và sản phẩm y tế,"Phát triển não bộ - sức khỏe cho mắt, Tiêu hóa khỏe, Giảm đến 40%, Giảm 10%, Sản phẩm chăm sóc sức khỏe bằng tiếng Anh",,,,,,"Nhà Thuốc
Pharmacity
Drugstore
PHÁT TRIỂN NÃO BỘ SỨC KHỎE CHO MẮT
TIÊU HÓA KHỎE
GIẢM ĐẾN +40% 10%
ENGLISH THĂNG ĐƯỢC SẢN XUẤT",crop_images/GPAH9295.JPG.jpg_1730842349.4622405.jpg
Thanh Thảo,"573 Hưng Phú, Phường 9, Quận 8",0985 513 713,,,,Quận 8,573,Hưng Phú,,Phường 9,"Thanh Thảo
573
HƯNG PHÚ - P.9 - Q.8
0985 513 713",crop_images/GPAH9297.JPG.jpg_1730842836.0976043.jpg
Y MINH coffee shop,"573A Hưng Phủ, Phường 9, Quận 8",0908000718,,Quán cà phê,Cà phê và các loại thức uống khác,Quận 8,573A,Hưng Phủ,Thành phố Hồ Chí Minh,Phường 9,"Coffee L'Amant Chính Của Lại
Y MINH coffee shop
CN: 573A Hưng Phủ, P.9, Q.8 | DT: 0908000718",crop_images/GPAH9297.JPG.jpg_1730842836.1301148.jpg
Bò Sèo Petshop,"565 Hùng Phú, Phường 9, Quận B, TP.HCM",DT: 077 6919 314 - 0977 486 570,,Cửa hàng dành cho thú cưng,Làm đẹp thú cưng - Spa - Hotel,Quận B,565,Hùng Phú,TP.HCM,Phường 9,"Bức ảnh chụp một tấm biển hiệu màu vàng với dòng chữ ""Bò Sèo Petshop"" được viết bằng chữ in hoa màu đen. Dưới dòng chữ này là dòng chữ ""LÀM ĐẸP THÚ CUNG - SPA - HOTEL"" cũng được viết bằng chữ in hoa màu đen. Phía dưới cùng của biển hiệu là địa chỉ và số điện thoại của cửa hàng: ""565 HÙNG PHÚ - P9 - QUẬN B - TP.HCM"" và ""DT: 077 6919 314 - 0977 486 570"".",crop_images/GPAH9300.JPG.jpg_1730843488.589014.jpg
Làm Đẹp Trọn Vẹn,,,,Salons & Spas,Dịch vụ làm đẹp,,,,,,"Bức ảnh chụp một biển hiệu quảng cáo với nền màu vàng cam. Biển hiệu được chia làm hai phần: phần trên là chữ ""Làm đẹp trọn vẹn"", phần dưới là dòng chữ nhỏ hơn ghi địa chỉ và số điện thoại. Chữ ""Làm đẹp trọn vẹn"" được viết bằng chữ in hoa, cỡ chữ lớn, màu đen nổi bật trên nền vàng. Dòng chữ nhỏ hơn ghi địa chỉ và số điện thoại ở phần dưới của biển hiệu, cũng được viết bằng chữ in hoa, cỡ chữ nhỏ hơn chữ ""Làm đẹp trọn vẹn"".",crop_images/GPAH9301.JPG.jpg_1730843644.4502409.jpg
Bakery Minh Hương,"57 Hưng Phú, Phường 9, Quận 8",0373969663,,Bakery,"Các loại bánh ngọt, bánh mì, bánh ngọt đặc biệt",Quận 8,57,Hưng Phú,,Phường 9,"Bakery
MINH HƯƠNG
57 Hưng Phú, Phường 9, Quận 8. ĐT: 0373969663",crop_images/GPAH9302.JPG.jpg_1730843841.180051.jpg
Phở Quyên,"Số 10, Phố Hàng Trống, Quận Hoàn Kiếm, Hà Nội",,,Phở Việt Nam truyền thống,"Phở gà, phở bò, phở tái lăn, phở gân, chả cá phở",Hoàn Kiếm,10,Phố Hàng Trống,Hà Nội,,PHỞ QUYÊN,crop_images/GPAH9302.JPG.jpg_1730843841.2126281.jpg
Minh Hương Bakery,"7 Hưng Phú, Phường 9, Quận 8",0373969663,,Bakery,"Bakery products including various bread, pastries, crepes; specialized in mooncakes, birthday cakes, wedding cakes; snacks and drinks available",Quận 8,7,Hưng Phú,,Phường 9,"Bakery
MINH HƯƠNG
7 Hưng Phú, Phường 9, Quận 8. DT: 0373969663",crop_images/GPAH9302.JPG.jpg_1730843841.2191916.jpg
Minh Hương Bakery,"7 Hưng Phú, Phường 9, Quận 8",0373969663,,Bakery,"Bánh mì tươi, Bánh ngọt, Bánh ngọt Pháp, Bánh su kem, Bánh cupcakes và bánh lớn cho các dịp đặc biệt",Quận 8,7,Hưng Phú,,Phường 9,"Bakery
MINH HƯƠNG
7 Hưng Phú, Phường 9, Quận 8. DT: 0373969663",crop_images/GPAH9302.JPG.jpg_1730843841.2485163.jpg
Bánh Mì Thịt Bỉ Chay,,,,"Bánh mì, món ăn chay, đồ uống từ trái cây","Bánh mì, sữa trái cây",,,,,,"Bánh Mì
Thịt, Bỉ Chay
Sữa Trái Cây
Bưởi Da Xanh - Mít Thân",crop_images/GPAH9303.JPG.jpg_1730844074.335232.jpg
Nha Khoa Phương Tây,,,,"Dịch vụ nha khoa, chăm sóc răng miệng",Dịch vụ nha khoa chất lượng,,,,,,NHA KHOA PHƯƠNG TÂY,crop_images/GPAH9306.JPG.jpg_1730844589.6942642.jpg
NHA KHOA PHƯƠNG TÂY,"123 Nguyễn Văn Linh, Quận 7, TP.HCM",,,Dịch vụ nha khoa,"Làm trắng răng, nha khoa phục hình, chữa trị sâu răng, cấy ghép Implant, nha khoa tổng quát",Quận 7,123,Nguyễn Văn Linh,TP.HCM,,NHA KHOA PHƯƠNG TÂY,crop_images/GPAH9306.JPG.jpg_1730844589.7298217.jpg
NHA KHOA PHƯƠNG TÂY,"Số 10, Đường Trần Phú",,,Dịch vụ nha khoa,"Chăm sóc răng miệng, làm trắng răng, niềng răng, nha khoa thẩm mỹ",Quận 5,,,Thành phố Hồ Chí Minh,,NHA KHOA PHƯƠNG TÂY,crop_images/GPAH9306.JPG.jpg_1730844589.762216.jpg
Hót Tóc Nam A Lập,"529 Hùng Phú, Phường 9, Quận 8",,,"Salon tóc nam, dịch vụ làm tóc nam","Ráy tóc, gội đầu, nhuộm tóc",Quận 8,529,Hùng Phú,,Phường 9,"HÓT TÓC NAM A LẬP
RÁY TAI - GỘI ĐẦU - NHUỘM
529 HÙNG PHÚ - P.9 - Q.8",crop_images/GPAH9311.JPG.jpg_1730845515.1837082.jpg
Phone Store,"525 - 527 Hưng Phú, Phường 9, Quận 8, TP. Hồ Chí Minh",3913.62.60,,Bán lẻ điện thoại di động và phụ kiện điện thoại,"Điện thoại di động, phụ kiện điện thoại",Quận 8,525 - 527,Hưng Phú,TP. Hồ Chí Minh,Phường 9,"Điện thoại: 3913.62.60
525 - 527 HƯNG PHÚ F.9 - Q.8",crop_images/GPAH9312.JPG.jpg_1730845709.9276676.jpg
Điện Thoại 3913.62.60,"525 - 527 Hưng Phú, Phường 9, Quận 8",3913.62.60,,Cửa hàng điện thoại di động và phụ kiện,Điện thoại di động và phụ kiện liên quan,Quận 8,525 - 527,Hưng Phú,,Phường 9,"Điện thoại: 3913.62.60
525 - 527 HƯNG PHÚ F.9 - Q.8",crop_images/GPAH9312.JPG.jpg_1730845710.0518324.jpg
Mỹ phẩm cao cấp Nhật Kim Anh Laura Sunshine,"523 Hùng Phú, Phường 9, Quận B, TP.",0902.685.002 0909.933.751,,"Mỹ phẩm, nước hoa, sản phẩm làm đẹp Nhật Bản chất lượng cao","Mỹ phẩm cao cấp, nước hoa, sản phẩm làm đẹp từ Nhật Bản",,,,,,"MỸ PHẨM CAO CẤP NHẬT KIM ANH
LAURA SUNSHINE
NPP ĐỘC QUYỀN QUẬN & HỒNG YẾN
523 HÙNG PHÚ PHƯỜNG.9-Q.B
0902.685.002 0909.933.751",crop_images/GPAH9313.JPG.jpg_1730845879.4389477.jpg
Nhật Kim Anh,,,,Dược mỹ phẩm,Chăm sóc da,,,,,,"NHẬT KIM ANH
Chăm Sóc Da",crop_images/GPAH9313.JPG.jpg_1730845879.494901.jpg
Mỹ Phẩm Cao Cấp Nhật Kim Anh Laura Sunshine,"523 Hưng Phú, Phường 9, Quận 8, Tp. Hồ Chí Minh",0902.685.002 0909.833.791,,Mỹ phẩm cao cấp,Mỹ phẩm cao cấp nhập khẩu độc quyền,Quận 8,523,Hưng Phú,Hồ Chí Minh,Phường 9,"MỸ PHẨM CAO CẤP NHẬT KIM ANH
LAURA SUNSHINE
NPP ĐỘC QUYỀN QUẬN 8
HỒNG YÊN
523 HƯNG PHÚ PHƯỜNG.9 - Q.8
0902.685.002 0909.833.791",crop_images/GPAH9313.JPG.jpg_1730845879.5013444.jpg
